;"(deg C) Mean Temperature (ERA5 LAND DAILY) at 29.9860E,40.1448N, 1994-01-01 to 2023-01-01"
"2000-04-25";14,1036
"2000-04-26";11,7714
"2000-04-27";11,7123
"2000-04-28";12,1897
"2000-04-29";11,4958
"2000-04-30";13,9838
"2000-05-01";14,8356
"2000-05-02";14,5077
"2000-05-03";9,2365
"2000-05-04";8,2677
"2000-05-05";6,4387
"2000-05-06";6,9525
"2000-05-07";9,3471
"2000-05-08";11,5598
"2000-05-09";11,8457
"2000-05-10";13,5954
"2000-05-11";15,1558
"2000-05-12";17,4327
"2000-05-13";16,39
"2000-05-14";13,1303
"2000-05-15";12,8766
"2000-05-16";13,6969
"2000-05-17";14,939
"2000-05-18";15,1395
"2000-05-19";14,4348
"2000-05-20";16,5046
"2000-05-21";18,2074
"2000-05-22";18,6165
"2000-05-23";17,915
"2000-05-24";12,1737
"2000-05-25";11,2675
"2000-05-26";14,7141
"2000-05-27";16,5349
"2000-05-28";17,701
"2000-05-29";17,4382
"2000-05-30";16,8776
"2000-05-31";16,7369
"2000-06-01";17,4207
"2000-06-02";12,7153
"2000-06-03";12,4446
"2000-06-04";14,717
"2000-06-05";17,279
"2000-06-06";18,295
"2000-06-07";17,8073
"2000-06-08";18,9171
"2000-06-09";19,3032
"2000-06-10";18,3422
"2000-06-11";17,507
"2000-06-12";17,8169
"2000-06-13";18,2009
"2000-06-14";19,0582
"2000-06-15";20,4587
"2000-06-16";22,5448
"2000-06-17";19,3638
"2000-06-18";12,1131
"2000-06-19";10,4942
"2000-06-20";11,8835
"2000-06-21";14,4151
"2000-06-22";18,9464
"2000-06-23";21,2102
"2000-06-24";21,4572
"2000-06-25";22,9117
"2000-06-26";24,0235
"2000-06-27";20,7095
"2000-06-28";16,6912
"2000-06-29";16,9075
"2000-06-30";18,6181
"2000-07-01";18,0938
"2000-07-02";18,9364
"2000-07-03";20,398
"2000-07-04";23,5074
"2000-07-05";26,5011
"2000-07-06";26,4014
"2000-07-07";23,2385
"2000-07-08";22,8217
"2000-07-09";26,2749
"2000-07-10";21,6346
"2000-07-11";21,6951
"2000-07-12";25,7172
"2000-07-13";27,3724
"2000-07-14";19,7236
"2000-07-15";21,2097
"2000-07-16";22,8714
"2000-07-17";22,4371
"2000-07-18";20,4089
"2000-07-19";19,2215
"2000-07-20";17,9138
"2000-07-21";18,4613
"2000-07-22";17,7208
"2000-07-23";18,0069
"2000-07-24";20,0564
"2000-07-25";22,9082
"2000-07-26";25,1699
"2000-07-27";27,1764
"2000-07-28";26,6695
"2000-07-29";27,7804
"2000-07-30";26,0491
"2000-07-31";22,1152
"2000-08-01";17,3171
"2000-08-02";15,9388
"2000-08-03";17,8511
"2000-08-04";18,5267
"2000-08-05";20,7064
"2000-08-06";22,2774
"2000-08-07";24,6058
"2000-08-08";25,1444
"2000-08-09";22,615
"2000-08-10";21,0771
"2000-08-11";22,9188
"2000-08-12";21,5494
"2000-08-13";20,5651
"2000-08-14";21,5536
"2000-08-15";22,7542
"2000-08-16";22,797
"2000-08-17";21,7281
"2000-08-18";21,3001
"2000-08-19";21,3346
"2000-08-20";22,0678
"2000-08-21";22,5002
"2000-08-22";24,0706
"2000-08-23";23,6348
"2000-08-24";23,5881
"2000-08-25";20,8401
"2000-08-26";18,3445
"2000-08-27";15,4352
"2000-08-28";16,4652
"2000-08-29";16,845
"2000-08-30";15,6959
"2000-08-31";17,0903
"2000-09-01";19,7653
"2000-09-02";20,7445
"2000-09-03";20,8677
"2000-09-04";22,0164
"2000-09-05";23,3362
"2000-09-06";16,4226
"2000-09-07";13,6174
"2000-09-08";15,6722
"2000-09-09";16,571
"2000-09-10";17,2061
"2000-09-11";19,6302
"2000-09-12";17,518
"2000-09-13";16,7449
"2000-09-14";18,4239
"2000-09-15";18,6912
"2000-09-16";17,9241
"2000-09-17";18,8497
"2000-09-18";20,1126
"2000-09-19";21,6744
"2000-09-20";20,7554
"2000-09-21";21,7821
"2000-09-22";22,3319
"2000-09-23";21,8582
"2000-09-24";16,111
"2000-09-25";12,0519
"2000-09-26";10,2588
"2000-09-27";10,8645
"2000-09-28";11,9114
"2000-09-29";12,4404
"2000-09-30";13,0673
"2000-10-01";13,9046
"2000-10-02";14,5228
"2000-10-03";15,3629
"2000-10-04";16,8872
"2000-10-05";17,9194
"2000-10-06";18,6111
"2000-10-07";16,1365
"2000-10-08";14,594
"2000-10-09";15,1886
"2000-10-10";14,3389
"2000-10-11";14,5019
"2000-10-12";14,8084
"2000-10-13";14,0689
"2000-10-14";13,0168
"2000-10-15";12,8224
"2000-10-16";13,6134
"2000-10-17";14,1837
"2000-10-18";12,2376
"2000-10-19";10,1829
"2000-10-20";8,8402
"2000-10-21";7,4649
"2000-10-22";5,9342
"2000-10-23";6,4148
"2000-10-24";7,3432
"2000-10-25";7,7613
"2000-10-26";7,4148
"2000-10-27";9,3934
"2000-10-28";8,528
"2000-10-29";7,9061
"2000-10-30";7,8417
"2000-10-31";7,7789
"2000-11-01";8,1348
"2000-11-02";10,2108
"2000-11-03";10,7876
"2000-11-04";11,6757
"2000-11-05";11,6963
"2000-11-06";12,5276
"2000-11-07";13,1593
"2000-11-08";12,2799
"2000-11-09";11,6993
"2000-11-10";11,3706
"2000-11-11";11,7274
"2000-11-12";9,4688
"2000-11-13";8,0538
"2000-11-14";6,5472
"2000-11-15";6,894
"2000-11-16";7,5157
"2000-11-17";7,1604
"2000-11-18";6,1157
"2000-11-19";5,6055
"2000-11-20";7,187
"2000-11-21";8,3478
"2000-11-22";7,812
"2000-11-23";6,7714
"2000-11-24";5,4186
"2000-11-25";5,0516
"2000-11-26";8,3083
"2000-11-27";9,9
"2000-11-28";9,0527
"2000-11-29";8,174
"2000-11-30";7,0445
"2000-12-01";7,0873
"2000-12-02";6,0813
"2000-12-03";5,0812
"2000-12-04";3,9929
"2000-12-05";4,1143
"2000-12-06";4,1386
"2000-12-07";4,2668
"2000-12-08";3,4409
"2000-12-09";1,8212
"2000-12-10";0,9919
"2000-12-11";3,6624
"2000-12-12";4,683
"2000-12-13";4,152
"2000-12-14";2,1695
"2000-12-15";3,9088
"2000-12-16";6,3973
"2000-12-17";5,5519
"2000-12-18";3,2985
"2000-12-19";1,7106
"2000-12-20";0,6112
"2000-12-21";-1,3934
"2000-12-22";-1,2444
"2000-12-23";-1,5176
"2000-12-24";-1,6166
"2000-12-25";-6,2437
"2000-12-26";-0,8383
"2000-12-27";4,5279
"2000-12-28";5,9214
"2000-12-29";6,0208
"2000-12-30";6,6195
"2000-12-31";6,6824
"2001-01-01";6,3196
"2001-01-02";5,2167
"2001-01-03";5,4357
"2001-01-04";3,8044
"2001-01-05";4,2232
"2001-01-06";3,1361
"2001-01-07";3,2421
"2001-01-08";4,6586
"2001-01-09";6,7942
"2001-01-10";5,844
"2001-01-11";2,8213
"2001-01-12";2,0232
"2001-01-13";2,9565
"2001-01-14";1,7977
"2001-01-15";2,8098
"2001-01-16";3,4989
"2001-01-17";3,7333
"2001-01-18";3,2271
"2001-01-19";1,7991
"2001-01-20";0,7639
"2001-01-21";0,2475
"2001-01-22";-0,0051
"2001-01-23";-0,0541
"2001-01-24";-0,3496
"2001-01-25";0,0484
"2001-01-26";0,1714
"2001-01-27";1,8842
"2001-01-28";7,0021
"2001-01-29";7,2306
"2001-01-30";6,6773
"2001-01-31";5,5447
"2001-02-01";5,9895
"2001-02-02";4,6943
"2001-02-03";1,23
"2001-02-04";0,1
"2001-02-05";1,3374
"2001-02-06";3,8238
"2001-02-07";5,378
"2001-02-08";4,2439
"2001-02-09";4,0068
"2001-02-10";3,5212
"2001-02-11";3,9221
"2001-02-12";2,2193
"2001-02-13";3,5896
"2001-02-14";1,5548
"2001-02-15";0,934
"2001-02-16";1,0301
"2001-02-17";1,3478
"2001-02-18";1,4842
"2001-02-19";-1,6239
"2001-02-20";-5,2918
"2001-02-21";-4,3132
"2001-02-22";-1,3104
"2001-02-23";0,2659
"2001-02-24";7,0452
"2001-02-25";8,6546
"2001-02-26";10,2127
"2001-02-27";9,0833
"2001-02-28";6,6234
"2001-03-01";9,4742
"2001-03-02";6,6534
"2001-03-03";8,8679
"2001-03-04";10,8583
"2001-03-05";10,8035
"2001-03-06";9,4441
"2001-03-07";2,8351
"2001-03-08";2,5366
"2001-03-09";6,4286
"2001-03-10";9,9714
"2001-03-11";10,9913
"2001-03-12";10,2815
"2001-03-13";9,5441
"2001-03-14";10,148
"2001-03-15";7,401
"2001-03-16";8,0546
"2001-03-17";9,8605
"2001-03-18";11,6345
"2001-03-19";13,976
"2001-03-20";14,2254
"2001-03-21";12,1027
"2001-03-22";12,1094
"2001-03-23";5,6961
"2001-03-24";8,8521
"2001-03-25";12,7274
"2001-03-26";16,7006
"2001-03-27";16,7681
"2001-03-28";12,9415
"2001-03-29";8,4078
"2001-03-30";8,5959
"2001-03-31";7,332
"2001-04-01";8,3606
"2001-04-02";6,1545
"2001-04-03";4,5953
"2001-04-04";4,8276
"2001-04-05";6,0831
"2001-04-06";9,093
"2001-04-07";11,364
"2001-04-08";12,3495
"2001-04-09";14,8423
"2001-04-10";9,3771
"2001-04-11";8,2285
"2001-04-12";9,6246
"2001-04-13";12,266
"2001-04-14";7,1376
"2001-04-15";10,6671
"2001-04-16";8,937
"2001-04-17";10,9817
"2001-04-18";10,6714
"2001-04-19";12,3668
"2001-04-20";14,3526
"2001-04-21";14,3848
"2001-04-22";15,5984
"2001-04-23";10,7274
"2001-04-24";11,4574
"2001-04-25";11,3356
"2001-04-26";12,2291
"2001-04-27";13,7175
"2001-04-28";15,7559
"2001-04-29";16,0134
"2001-04-30";14,9612
"2001-05-01";12,8324
"2001-05-02";11,6294
"2001-05-03";12,08
"2001-05-04";14,4712
"2001-05-05";16,3782
"2001-05-06";14,0227
"2001-05-07";12,4369
"2001-05-08";11,852
"2001-05-09";11,2225
"2001-05-10";9,4599
"2001-05-11";10,4261
"2001-05-12";12,8433
"2001-05-13";8,8888
"2001-05-14";7,7905
"2001-05-15";8,5181
"2001-05-16";10,7965
"2001-05-17";13,3332
"2001-05-18";15,3866
"2001-05-19";17,4006
"2001-05-20";14,0885
"2001-05-21";13,9061
"2001-05-22";17,4709
"2001-05-23";16,994
"2001-05-24";12,9728
"2001-05-25";17,1733
"2001-05-26";18,7178
"2001-05-27";15,3701
"2001-05-28";15,2589
"2001-05-29";16,121
"2001-05-30";18,1603
"2001-05-31";19,2074
"2001-06-01";22,1773
"2001-06-02";19,2689
"2001-06-03";20,5422
"2001-06-04";21,4693
"2001-06-05";14,1533
"2001-06-06";12,7644
"2001-06-07";15,9212
"2001-06-08";17,3228
"2001-06-09";17,8099
"2001-06-10";19,5603
"2001-06-11";22,1685
"2001-06-12";23,7674
"2001-06-13";20,7427
"2001-06-14";23,3117
"2001-06-15";18,5078
"2001-06-16";15,4932
"2001-06-17";16,9315
"2001-06-18";19,6195
"2001-06-19";21,8724
"2001-06-20";20,7304
"2001-06-21";19,1196
"2001-06-22";18,9093
"2001-06-23";21,0394
"2001-06-24";20,8821
"2001-06-25";18,9049
"2001-06-26";18,6934
"2001-06-27";19,2541
"2001-06-28";20,2752
"2001-06-29";20,349
"2001-06-30";19,2875
"2001-07-01";18,8118
"2001-07-02";20,1548
"2001-07-03";18,8622
"2001-07-04";18,6593
"2001-07-05";20,1535
"2001-07-06";20,8223
"2001-07-07";18,685
"2001-07-08";22,3004
"2001-07-09";24,4053
"2001-07-10";23,6813
"2001-07-11";22,3191
"2001-07-12";21,6904
"2001-07-13";21,969
"2001-07-14";23,1927
"2001-07-15";23,898
"2001-07-16";23,3089
"2001-07-17";24,5052
"2001-07-18";24,7089
"2001-07-19";24,1492
"2001-07-20";25,0388
"2001-07-21";27,6086
"2001-07-22";22,8282
"2001-07-23";23,3799
"2001-07-24";24,1918
"2001-07-25";23,4145
"2001-07-26";23,3175
"2001-07-27";23,7209
"2001-07-28";23,5625
"2001-07-29";23,7477
"2001-07-30";23,7197
"2001-07-31";23,1664
"2001-08-01";23,5114
"2001-08-02";21,4761
"2001-08-03";21,6659
"2001-08-04";21,5524
"2001-08-05";22,4084
"2001-08-06";23,1012
"2001-08-07";23,8155
"2001-08-08";24,4049
"2001-08-09";24,798
"2001-08-10";25,6051
"2001-08-11";26,2824
"2001-08-12";25,047
"2001-08-13";21,8673
"2001-08-14";20,9365
"2001-08-15";21,2184
"2001-08-16";22,0183
"2001-08-17";21,5931
"2001-08-18";21,139
"2001-08-19";20,0142
"2001-08-20";20,7383
"2001-08-21";20,3906
"2001-08-22";20,9192
"2001-08-23";21,188
"2001-08-24";22,0833
"2001-08-25";22,2786
"2001-08-26";20,0096
"2001-08-27";19,6802
"2001-08-28";20,6251
"2001-08-29";21,2412
"2001-08-30";17,4497
"2001-08-31";17,3292
"2001-09-01";19,3892
"2001-09-02";21,0028
"2001-09-03";20,8129
"2001-09-04";18,8304
"2001-09-05";20,5563
"2001-09-06";20,5368
"2001-09-07";17,8198
"2001-09-08";16,0435
"2001-09-09";18,0131
"2001-09-10";19,9051
"2001-09-11";20,2363
"2001-09-12";18,0188
"2001-09-13";15,8373
"2001-09-14";16,5351
"2001-09-15";18,4692
"2001-09-16";18,596
"2001-09-17";20,6898
"2001-09-18";21,3428
"2001-09-19";21,766
"2001-09-20";20,5688
"2001-09-21";18,869
"2001-09-22";17,8984
"2001-09-23";18,9434
"2001-09-24";19,864
"2001-09-25";22,4713
"2001-09-26";20,8996
"2001-09-27";17,1178
"2001-09-28";11,8376
"2001-09-29";13,1095
"2001-09-30";13,4448
"2001-10-01";15,7423
"2001-10-02";16,5684
"2001-10-03";17,8452
"2001-10-04";19,2365
"2001-10-05";17,5225
"2001-10-06";17,4107
"2001-10-07";16,9045
"2001-10-08";16,639
"2001-10-09";18,1851
"2001-10-10";18,314
"2001-10-11";16,8577
"2001-10-12";15,5351
"2001-10-13";13,0384
"2001-10-14";13,1408
"2001-10-15";12,7997
"2001-10-16";12,5709
"2001-10-17";11,8275
"2001-10-18";10,2057
"2001-10-19";10,9846
"2001-10-20";11,8288
"2001-10-21";11,6017
"2001-10-22";13,2014
"2001-10-23";12,3056
"2001-10-24";10,2996
"2001-10-25";6,5032
"2001-10-26";6,3343
"2001-10-27";5,604
"2001-10-28";6,0405
"2001-10-29";6,7289
"2001-10-30";5,4998
"2001-10-31";9,3384
"2001-11-01";10,0819
"2001-11-02";9,5001
"2001-11-03";4,6759
"2001-11-04";7,5729
"2001-11-05";9,2008
"2001-11-06";8,8586
"2001-11-07";10,1912
"2001-11-08";9,7733
"2001-11-09";11,1285
"2001-11-10";11,6384
"2001-11-11";11,2207
"2001-11-12";10,978
"2001-11-13";13,1285
"2001-11-14";13,702
"2001-11-15";8,9219
"2001-11-16";5,2311
"2001-11-17";1,4989
"2001-11-18";0,724
"2001-11-19";1,9564
"2001-11-20";4,6063
"2001-11-21";-0,0996
"2001-11-22";-1,9271
"2001-11-23";2,1123
"2001-11-24";8,4684
"2001-11-25";1,1321
"2001-11-26";1,576
"2001-11-27";3,095
"2001-11-28";3,1145
"2001-11-29";5,9416
"2001-11-30";4,965
"2001-12-01";3,1435
"2001-12-02";6,1397
"2001-12-03";6,7601
"2001-12-04";3,7897
"2001-12-05";2,2135
"2001-12-06";2,028
"2001-12-07";1,6309
"2001-12-08";1,1124
"2001-12-09";-0,6001
"2001-12-10";-1,5012
"2001-12-11";-2,0835
"2001-12-12";-1,2494
"2001-12-13";0,0365
"2001-12-14";-1,0295
"2001-12-15";-5,4004
"2001-12-16";-2,8132
"2001-12-17";0,2314
"2001-12-18";-1,1841
"2001-12-19";-4,4454
"2001-12-20";-9,0245
"2001-12-21";-6,6746
"2001-12-22";2,3852
"2001-12-23";1,5674
"2001-12-24";4,4535
"2001-12-25";5,6265
"2001-12-26";0,9862
"2001-12-27";0,3276
"2001-12-28";2,6427
"2001-12-29";0,3139
"2001-12-30";2,0348
"2001-12-31";5,8289
"2002-01-01";1,7598
"2002-01-02";-5,6642
"2002-01-03";-5,8454
"2002-01-04";-4,4695
"2002-01-05";-5,4367
"2002-01-06";-6,1284
"2002-01-07";-5,1493
"2002-01-08";-3,2164
"2002-01-09";-7,9773
"2002-01-10";-10,812
"2002-01-11";-11,1367
"2002-01-12";-8,2997
"2002-01-13";-6,7122
"2002-01-14";-6,7059
"2002-01-15";-6,5521
"2002-01-16";-5,704
"2002-01-17";-3,4678
"2002-01-18";-0,5832
"2002-01-19";-0,7918
"2002-01-20";0,4564
"2002-01-21";0,84
"2002-01-22";0,1086
"2002-01-23";-1,5991
"2002-01-24";-0,6697
"2002-01-25";0,4359
"2002-01-26";1,1459
"2002-01-27";-0,4495
"2002-01-28";1,6213
"2002-01-29";2,5778
"2002-01-30";2,9653
"2002-01-31";3,8926
"2002-02-01";5,4009
"2002-02-02";5,2913
"2002-02-03";3,3429
"2002-02-04";3,7727
"2002-02-05";4,1195
"2002-02-06";4,0794
"2002-02-07";3,0721
"2002-02-08";3,7196
"2002-02-09";5,2418
"2002-02-10";5,2677
"2002-02-11";4,4471
"2002-02-12";3,0911
"2002-02-13";4,1487
"2002-02-14";7,7835
"2002-02-15";3,7556
"2002-02-16";2,7116
"2002-02-17";1,9521
"2002-02-18";3,782
"2002-02-19";6,6107
"2002-02-20";7,6493
"2002-02-21";8,2248
"2002-02-22";7,8065
"2002-02-23";7,8505
"2002-02-24";7,271
"2002-02-25";2,1238
"2002-02-26";2,0063
"2002-02-27";4,6291
"2002-02-28";6,6065
"2002-03-01";7,7318
"2002-03-02";8,6261
"2002-03-03";9,2905
"2002-03-04";9,6961
"2002-03-05";9,7581
"2002-03-06";12,1382
"2002-03-07";13,4035
"2002-03-08";11,7897
"2002-03-09";9,6144
"2002-03-10";11,3345
"2002-03-11";11,248
"2002-03-12";10,1215
"2002-03-13";7,3035
"2002-03-14";8,6052
"2002-03-15";9,2251
"2002-03-16";8,5536
"2002-03-17";4,005
"2002-03-18";3,0044
"2002-03-19";4,3954
"2002-03-20";5,7081
"2002-03-21";4,3484
"2002-03-22";7,744
"2002-03-23";8,9772
"2002-03-24";6,15
"2002-03-25";3,1447
"2002-03-26";2,0189
"2002-03-27";2,2748
"2002-03-28";2,0595
"2002-03-29";1,78
"2002-03-30";3,2789
"2002-03-31";5,2487
"2002-04-01";5,9552
"2002-04-02";4,8876
"2002-04-03";7,7795
"2002-04-04";6,756
"2002-04-05";9,4386
"2002-04-06";6,6909
"2002-04-07";6,9366
"2002-04-08";3,331
"2002-04-09";4,8094
"2002-04-10";9,0864
"2002-04-11";10,4442
"2002-04-12";11,4915
"2002-04-13";14,5892
"2002-04-14";15,4107
"2002-04-15";15,0879
"2002-04-16";12,9254
"2002-04-17";9,0795
"2002-04-18";10,1937
"2002-04-19";8,124
"2002-04-20";8,0039
"2002-04-21";7,5568
"2002-04-22";5,9751
"2002-04-23";7,9862
"2002-04-24";8,1693
"2002-04-25";7,8698
"2002-04-26";9,0514
"2002-04-27";10,0551
"2002-04-28";11,8623
"2002-04-29";12,2996
"2002-04-30";12,7775
"2002-05-01";12,9522
"2002-05-02";11,7964
"2002-05-03";12,9857
"2002-05-04";12,3572
"2002-05-05";11,642
"2002-05-06";12,23
"2002-05-07";11,7223
"2002-05-08";12,7816
"2002-05-09";13,1822
"2002-05-10";12,2105
"2002-05-11";14,0858
"2002-05-12";14,9687
"2002-05-13";14,3579
"2002-05-14";11,9032
"2002-05-15";12,2134
"2002-05-16";13,6188
"2002-05-17";14,6393
"2002-05-18";15,3209
"2002-05-19";17,048
"2002-05-20";18,8436
"2002-05-21";16,4567
"2002-05-22";13,1817
"2002-05-23";12,3092
"2002-05-24";15,0691
"2002-05-25";19,077
"2002-05-26";19,3434
"2002-05-27";15,7312
"2002-05-28";16,0976
"2002-05-29";18,5945
"2002-05-30";14,8342
"2002-05-31";12,7676
"2002-06-01";13,2128
"2002-06-02";14,8362
"2002-06-03";14,584
"2002-06-04";13,4923
"2002-06-05";13,8226
"2002-06-06";17,2342
"2002-06-07";21,6753
"2002-06-08";22,8354
"2002-06-09";22,9316
"2002-06-10";23,3689
"2002-06-11";17,606
"2002-06-12";15,7477
"2002-06-13";16,867
"2002-06-14";17,7219
"2002-06-15";18,097
"2002-06-16";17,8081
"2002-06-17";19,2736
"2002-06-18";16,9489
"2002-06-19";14,9422
"2002-06-20";15,9741
"2002-06-21";17,4744
"2002-06-22";19,4125
"2002-06-23";21,0633
"2002-06-24";22,2962
"2002-06-25";23,2752
"2002-06-26";20,2033
"2002-06-27";18,4442
"2002-06-28";19,6337
"2002-06-29";21,1614
"2002-06-30";21,4217
"2002-07-01";20,4238
"2002-07-02";19,301
"2002-07-03";20,57
"2002-07-04";21,952
"2002-07-05";22,2155
"2002-07-06";24,4538
"2002-07-07";23,6091
"2002-07-08";22,3881
"2002-07-09";22,4921
"2002-07-10";21,3098
"2002-07-11";21,9177
"2002-07-12";19,6396
"2002-07-13";21,8045
"2002-07-14";23,0817
"2002-07-15";23,7632
"2002-07-16";24,7991
"2002-07-17";26,0157
"2002-07-18";25,5877
"2002-07-19";24,7594
"2002-07-20";24,8205
"2002-07-21";22,4741
"2002-07-22";21,7201
"2002-07-23";20,7115
"2002-07-24";19,4915
"2002-07-25";21,6759
"2002-07-26";23,3611
"2002-07-27";23,7887
"2002-07-28";24,0973
"2002-07-29";25,381
"2002-07-30";23,7087
"2002-07-31";24,5309
"2002-08-01";23,3099
"2002-08-02";22,0876
"2002-08-03";21,6001
"2002-08-04";21,764
"2002-08-05";22,8851
"2002-08-06";22,4924
"2002-08-07";23,4314
"2002-08-08";20,6684
"2002-08-09";19,4619
"2002-08-10";21,2387
"2002-08-11";22,9183
"2002-08-12";26,9928
"2002-08-13";24,5643
"2002-08-14";20,899
"2002-08-15";19,4767
"2002-08-16";19,2604
"2002-08-17";19,5807
"2002-08-18";19,1168
"2002-08-19";18,9817
"2002-08-20";19,1987
"2002-08-21";18,0851
"2002-08-22";18,3565
"2002-08-23";19,4175
"2002-08-24";20,3362
"2002-08-25";19,8867
"2002-08-26";18,8934
"2002-08-27";18,7127
"2002-08-28";18,9155
"2002-08-29";20,2174
"2002-08-30";21,3318
"2002-08-31";18,6426
"2002-09-01";18,7656
"2002-09-02";17,6472
"2002-09-03";18,1181
"2002-09-04";18,4582
"2002-09-05";17,3708
"2002-09-06";17,4409
"2002-09-07";17,9242
"2002-09-08";18,5628
"2002-09-09";18,3653
"2002-09-10";17,5068
"2002-09-11";17,0089
"2002-09-12";16,8562
"2002-09-13";18,1151
"2002-09-14";18,3083
"2002-09-15";16,785
"2002-09-16";16,5248
"2002-09-17";14,706
"2002-09-18";13,2428
"2002-09-19";13,4287
"2002-09-20";14,1735
"2002-09-21";14,7051
"2002-09-22";17,0712
"2002-09-23";18,9739
"2002-09-24";19,8695
"2002-09-25";19,6316
"2002-09-26";20,5749
"2002-09-27";17,7848
"2002-09-28";16,9927
"2002-09-29";17,566
"2002-09-30";17,2643
"2002-10-01";14,8212
"2002-10-02";11,2399
"2002-10-03";11,1542
"2002-10-04";12,3801
"2002-10-05";13,8545
"2002-10-06";14,8948
"2002-10-07";14,9319
"2002-10-08";14,5919
"2002-10-09";14,5108
"2002-10-10";14,932
"2002-10-11";16,4656
"2002-10-12";18,2649
"2002-10-13";17,325
"2002-10-14";16,2663
"2002-10-15";13,3617
"2002-10-16";13,1868
"2002-10-17";14,2407
"2002-10-18";15,3896
"2002-10-19";15,323
"2002-10-20";11,8527
"2002-10-21";9,319
"2002-10-22";10,6898
"2002-10-23";14,8345
"2002-10-24";15,1498
"2002-10-25";12,5296
"2002-10-26";12,6927
"2002-10-27";11,7585
"2002-10-28";10,5548
"2002-10-29";7,9135
"2002-10-30";5,6418
"2002-10-31";8,2744
"2002-11-01";8,7589
"2002-11-02";9,0155
"2002-11-03";9,4941
"2002-11-04";10,1858
"2002-11-05";12,7117
"2002-11-06";10,6825
"2002-11-07";12,49
"2002-11-08";12,0293
"2002-11-09";11,1275
"2002-11-10";10,7933
"2002-11-11";5,4472
"2002-11-12";5,108
"2002-11-13";5,3217
"2002-11-14";5,843
"2002-11-15";7,9673
"2002-11-16";8,9577
"2002-11-17";9,4471
"2002-11-18";9,242
"2002-11-19";8,3072
"2002-11-20";8,8401
"2002-11-21";7,5968
"2002-11-22";8,7413
"2002-11-23";7,5209
"2002-11-24";7,3495
"2002-11-25";7,0934
"2002-11-26";5,9773
"2002-11-27";6,1071
"2002-11-28";3,7974
"2002-11-29";2,6276
"2002-11-30";2,6206
"2002-12-01";2,6794
"2002-12-02";4,3557
"2002-12-03";7,1913
"2002-12-04";7,5894
"2002-12-05";7,7603
"2002-12-06";7,7168
"2002-12-07";5,5205
"2002-12-08";3,7255
"2002-12-09";-1,3902
"2002-12-10";-2,512
"2002-12-11";-2,056
"2002-12-12";-2,3982
"2002-12-13";-2,221
"2002-12-14";-0,2458
"2002-12-15";-0,2621
"2002-12-16";-2,711
"2002-12-17";-3,0438
"2002-12-18";-1,415
"2002-12-19";-1,4535
"2002-12-20";-3,5662
"2002-12-21";-7,9409
"2002-12-22";-8,7411
"2002-12-23";-2,7102
"2002-12-24";-0,7884
"2002-12-25";-3,3447
"2002-12-26";-7,2534
"2002-12-27";-7,5501
"2002-12-28";0,2204
"2002-12-29";5,0595
"2002-12-30";5,9562
"2002-12-31";5,4878
"2003-01-01";7,0047
"2003-01-02";4,0876
"2003-01-03";5,7054
"2003-01-04";7,0012
"2003-01-05";6,69
"2003-01-06";8,1777
"2003-01-07";7,2429
"2003-01-08";9,3331
"2003-01-09";6,7861
"2003-01-10";8,2529
"2003-01-11";8,1426
"2003-01-12";6,6748
"2003-01-13";0,2544
"2003-01-14";-0,3828
"2003-01-15";0,0743
"2003-01-16";2,6807
"2003-01-17";1,8983
"2003-01-18";2,018
"2003-01-19";1,8321
"2003-01-20";3,5111
"2003-01-21";4,1917
"2003-01-22";2,9879
"2003-01-23";3,6363
"2003-01-24";4,8876
"2003-01-25";5,3563
"2003-01-26";4,1353
"2003-01-27";1,6503
"2003-01-28";1,1509
"2003-01-29";3,9751
"2003-01-30";9,6554
"2003-01-31";9,6546
"2003-02-01";5,631
"2003-02-02";5,1525
"2003-02-03";-0,0511
"2003-02-04";0,4249
"2003-02-05";6,5353
"2003-02-06";6,4102
"2003-02-07";2,8402
"2003-02-08";-3,4478
"2003-02-09";-4,3155
"2003-02-10";-3,3242
"2003-02-11";-1,5551
"2003-02-12";-0,734
"2003-02-13";-0,5631
"2003-02-14";-1,3291
"2003-02-15";-2,5321
"2003-02-16";-2,4796
"2003-02-17";-0,5693
"2003-02-18";-1,5173
"2003-02-19";-3,1473
"2003-02-20";-3,5237
"2003-02-21";-3,1046
"2003-02-22";-5,6239
"2003-02-23";-4,7762
"2003-02-24";-3,7305
"2003-02-25";-3,4874
"2003-02-26";-3,6713
"2003-02-27";-3,7734
"2003-02-28";-4,1554
"2003-03-01";-1,3822
"2003-03-02";1,178
"2003-03-03";2,2756
"2003-03-04";3,8496
"2003-03-05";2,5948
"2003-03-06";1,7052
"2003-03-07";2,7515
"2003-03-08";2,5231
"2003-03-09";1,0256
"2003-03-10";1,505
"2003-03-11";0,4241
"2003-03-12";2,2543
"2003-03-13";5,9467
"2003-03-14";3,3302
"2003-03-15";2,7519
"2003-03-16";1,1621
"2003-03-17";2,4529
"2003-03-18";0,4355
"2003-03-19";-0,8027
"2003-03-20";0,6264
"2003-03-21";0,9078
"2003-03-22";-3,8036
"2003-03-23";-4,6093
"2003-03-24";-4,544
"2003-03-25";-0,7181
"2003-03-26";3,4265
"2003-03-27";3,2637
"2003-03-28";3,0774
"2003-03-29";3,2056
"2003-03-30";4,0656
"2003-03-31";5,2823
"2003-04-01";6,5692
"2003-04-02";8,0229
